"typeResult","idGame","slugTeam","idTeam","pctEFGOpponent","pctTOVOpponent","pctOREBOpponent","teamName","cityTeam","minExact","rateFTA","rateFTAOpponent"
"team",22200341,"OKC",1610612760,0.584,0.203,0.356,"Thunder","Oklahoma City",240,0.376,0.337
"team",22200341,"MIN",1610612750,0.575,0.18,0.327,"Timberwolves","Minnesota",240,0.337,0.376
"team",22200343,"UTA",1610612762,0.541,0.13,0.265,"Jazz","Utah",240,0.333,0.365
"team",22200343,"POR",1610612757,0.53,0.131,0.224,"Trail Blazers","Portland",240,0.365,0.333
"team",22200340,"TOR",1610612761,0.558,0.159,0.244,"Raptors","Toronto",240,0.298,0.333
"team",22200340,"ORL",1610612753,0.613,0.17,0.35,"Magic","Orlando",240,0.333,0.298
"team",22200339,"MIL",1610612749,0.42,0.135,0.204,"Bucks","Milwaukee",240,0.229,0.299
"team",22200339,"CHA",1610612766,0.542,0.209,0.217,"Hornets","Charlotte",240,0.299,0.229
"team",22200342,"HOU",1610612745,0.676,0.144,0.163,"Rockets","Houston",240,0.22,0.118
"team",22200342,"GSW",1610612744,0.456,0.149,0.346,"Warriors","Golden State",240,0.118,0.22
"team",22200338,"SAC",1610612758,0.403,0.171,0.371,"Kings","Sacramento",240,0.337,0.28
"team",22200338,"LAC",1610612746,0.579,0.087,0.204,"Clippers","LA",240,0.28,0.337
"team",22200350,"SAC",1610612758,0.494,0.155,0.16,"Kings","Sacramento",240,0.221,0.221
"team",22200350,"CHI",1610612741,0.541,0.175,0.234,"Bulls","Chicago",240,0.221,0.221
"team",22200346,"BOS",1610612738,0.458,0.154,0.241,"Celtics","Boston",240,0.247,0.262
"team",22200346,"BKN",1610612751,0.525,0.172,0.255,"Nets","Brooklyn",240,0.262,0.247
