"typeResult","idGame","slugTeam","idTeam","pctAST","pctOREB","pctDREB","pctTREB","pctTOVE","pctTOVTeam","pctEFG","pctTS","pctUSG","pctUSGE","teamName","cityTeam","minExact","ortgE","ortg","drtgE","drtg","netrtgE","netrtg","ratioASTtoTOV","ratioAST","paceE","pace","pacePer40PACE_PER40","possessions","ratioPIE"
"team",22200350,"CHI",1610612741,0.447,0.16,0.766,0.454,15.48,15.5,0.494,0.535,1,0.198,"Bulls","Chicago",240,97.7,98.1,101.5,106.8,-3.8,-8.7,1.06,13.3,105.86,103,85.83,103,0.426
"team",22200353,"ORL",1610612753,0.618,0.3,0.792,0.531,13.364,13.7,0.409,0.482,1,0.199,"Magic","Orlando",240,97.4,100,102.4,104.8,-5,-4.8,1.5,14.9,105.6,103,85.83,102,0.443
"team",22200353,"MIL",1610612749,0.816,0.208,0.7,0.469,15.971,16.3,0.524,0.565,1,0.197,"Bucks","Milwaukee",240,102.4,104.8,97.4,100,5,4.8,1.82,21.5,105.6,103,85.83,104,0.557
"team",22200358,"PHX",1610612756,0.7,0.389,0.725,0.532,12.69,13.3,0.511,0.542,1,0.198,"Suns","Phoenix",240,108.4,113.3,132.1,135.4,-23.7,-22.2,2.15,19.5,100.44,97,80.83,98,0.439
"team",22200358,"DAL",1610612742,0.523,0.275,0.611,0.468,13.206,13.5,0.643,0.681,1,0.195,"Mavericks","Dallas",240,132.1,135.4,108.4,113.3,23.7,22.2,1.77,17.5,100.44,97,80.83,96,0.561
"team",22200356,"PHI",1610612755,0.59,0.283,0.536,0.413,17.883,18,0.546,0.598,1,0.199,"76ers","Philadelphia",290,110,110.8,111.5,118.9,-1.5,-8.1,1.15,15.8,95.26,91.86,76.55,111,0.466
"team",22200356,"HOU",1610612745,0.452,0.464,0.717,0.587,17.742,18.9,0.521,0.582,1,0.196,"Rockets","Houston",290,111.5,118.9,110,110.8,1.5,8.1,0.9,12.4,95.26,91.86,76.55,111,0.534
"team",22200357,"MIA",1610612748,0.742,0.24,0.792,0.51,17.584,17.7,0.481,0.524,1,0.197,"Heat","Miami",240,96.2,96.9,99.1,106.3,-2.9,-9.4,1.35,17.9,99.32,95.5,79.58,96,0.453
"team",22200357,"MEM",1610612763,0.548,0.208,0.76,0.49,11.769,12.6,0.511,0.537,1,0.194,"Grizzlies","Memphis",240,99.1,106.3,96.2,96.9,2.9,9.4,1.92,17.8,99.32,95.5,79.58,95,0.547
"team",22200354,"OKC",1610612760,0.581,0.288,0.644,0.477,14.875,14.8,0.516,0.573,1,0.201,"Thunder","Oklahoma City",240,112.5,112,103.2,104.6,9.3,7.4,1.56,17.1,109.02,108.5,90.42,108,0.554
